iter	Passed	Remaining
417	2062	2871
418	2064	2862
419	2069	2857
420	2071	2848
421	2073	2839
422	2075	2831
423	2077	2822
424	2080	2814
425	2084	2808
426	2086	2800
427	2088	2791
428	2091	2783
429	2093	2775
430	2098	2770
431	2101	2762
432	2103	2754
433	2105	2745
434	2107	2737
435	2112	2733
436	2115	2725
437	2117	2717
438	2119	2709
439	2122	2700
440	2124	2692
441	2128	2687
442	2130	2679
443	2133	2671
444	2135	2662
445	2137	2654
446	2142	2650
447	2144	2642
448	2146	2634
449	2149	2627
450	2152	2620
451	2157	2616
452	2160	2608
453	2162	2600
454	2164	2592
455	2166	2584
456	2169	2577
457	2173	2571
458	2175	2564
459	2177	2556
460	2179	2548
461	2181	2540
462	2186	2536
463	2189	2529
464	2191	2521
465	2193	2513
466	2195	2506
467	2198	2499
468	2203	2494
469	2205	2486
470	2207	2478
471	2209	2471
472	2211	2463
473	2216	2459
474	2218	2452
475	2220	2444
476	2222	2436
477	2224	2429
478	2226	2421
479	2232	2418
480	2235	2411
481	2237	2404
482	2239	2396
483	2241	2389
484	2246	2385
485	2249	2378
486	2251	2371
487	2253	2364
488	2255	2356
489	2257	2349
490	2262	2345
491	2265	2338
492	2267	2331
493	2269	2324
494	2271	2316
495	2274	2311
496	2277	2305
497	2280	2298
498	2282	2291
499	2284	2284
500	2287	2278
501	2291	2273
502	2293	2266
503	2295	2259
504	2297	2252
505	2300	2246
506	2305	2242
507	2308	2235
508	2310	2228
509	2312	2221
510	2315	2215
511	2320	2211
512	2323	2205
513	2326	2199
514	2329	2193
515	2335	2190
516	2338	2184
517	2341	2178
518	2343	2172
519	2349	2168
520	2352	2162
521	2355	2157
522	2358	2151
523	2363	2147
524	2366	2141
525	2369	2135
526	2371	2128
527	2375	2123
528	2379	2118
529	2383	2113
530	2387	2108
531	2394	2106
532	2400	2102
533	2408	2101
534	2413	2097
535	2417	2092
536	2423	2089
537	2426	2083
538	2429	2077
539	2432	2071
540	2434	2065
541	2439	2061
542	2442	2055
543	2445	2049
544	2447	2043
545	2453	2040
546	2456	2034
547	2459	2028
548	2462	2022
549	2468	2019
550	2471	2013
551	2474	2008
552	2476	2002
553	2483	1999
554	2485	1993
555	2488	1987
556	2491	1981
557	2496	1977
558	2499	1971
559	2502	1966
560	2504	1960
561	2512	1958
562	2515	1952
563	2519	1947
564	2521	1941
565	2528	1938
566	2531	1933
567	2534	1927
568	2538	1922
569	2541	1917
570	2544	1911
571	2547	1906
572	2551	1901
573	2554	1896
574	2557	1890
575	2560	1885
576	2567	1882
577	2570	1876
578	2573	1870
579	2575	1865
580	2578	1859
581	2583	1855
582	2585	1849
583	2588	1843
584	2590	1837
585	2593	1832
586	2595	1826
587	2598	1820
588	2601	1815
589	2604	1809
590	2609	1805
591	2612	1800
592	2615	1795
593	2618	1789
594	2623	1785
595	2626	1780
596	2629	1775
597	2632	1769
598	2635	1764
599	2639	1759
600	2642	1754
601	2644	1748
602	2647	1742
603	2652	1738
604	2655	1733
605	2657	1728
606	2660	1722
607	2663	1717
608	2668	1713
609	2671	1707
610	2673	1702
611	2676	1697
612	2682	1693
613	2685	1688
614	2687	1682
615	2690	1677
616	2697	1674
617	2700	1668
618	2702	1663
619	2705	1658
620	2712	1655
621	2715	1650
622	2717	1644
623	2721	1639
624	2726	1636
625	2729	1630
626	2731	1625
627	2734	1619
628	2740	1616
629	2743	1611
630	2746	1605
631	2748	1600
632	2751	1595
633	2756	1591
634	2759	1586
635	2761	1580
636	2765	1575
637	2772	1573
638	2775	1568
639	2779	1563
640	2786	1560
641	2789	1555
642	2793	1551
643	2799	1547
644	2802	1542
645	2805	1537
646	2808	1532
647	2812	1527
648	2816	1523
649	2820	1518
650	2823	1513
651	2827	1509
652	2830	1504
653	2832	1498
654	2834	1493
655	2837	1487
656	2838	1482
657	2844	1478
658	2846	1473
659	2848	1467
660	2850	1462
661	2852	1456
662	2856	1451
663	2859	1447
664	2862	1441
665	2864	1436
666	2866	1430
667	2868	1425
668	2873	1421
669	2875	1416
670	2877	1410
671	2879	1405
672	2881	1400
673	2884	1395
674	2888	1390
675	2891	1385
676	2893	1380
677	2895	1374
678	2897	1369
679	2902	1365
680	2904	1360
681	2907	1355
682	2909	1350
683	2911	1344
684	2915	1340
685	2919	1336
686	2923	1331
687	2926	1327
688	2932	1323
689	2934	1318
690	2936	1313
691	2938	1307
692	2940	1302
693	2945	1298
694	2948	1293
695	2950	1288
696	2952	1283
697	2954	1278
698	2957	1273
699	2961	1269
700	2963	1264
701	2965	1258
702	2967	1253
703	2969	1248
704	2974	1244
705	2977	1239
706	2979	1234
707	2981	1229
708	2983	1224
709	2985	1219
710	2991	1215
711	2993	1210
712	2995	1205
713	2998	1201
714	3000	1196
715	3006	1192
716	3008	1187
717	3010	1182
718	3012	1177
719	3014	1172
720	3020	1168
721	3022	1163
722	3025	1158
723	3027	1154
724	3029	1149
725	3031	1144
726	3035	1140
727	3038	1135
728	3040	1130
729	3042	1125
730	3044	1120
731	3049	1116
732	3051	1111
733	3053	1106
734	3056	1101
735	3058	1096
736	3060	1092
737	3065	1088
738	3067	1083
739	3070	1078
740	3072	1073
741	3074	1068
742	3079	1065
743	3081	1060
744	3084	1055
745	3086	1050
746	3088	1045
747	3090	1041
748	3095	1037
749	3097	1032
750	3099	1027
751	3101	1022
752	3103	1018
753	3106	1013
754	3110	1009
755	3112	1004
756	3115	999
757	3117	995
758	3119	990
759	3124	986
760	3126	981
761	3128	977
762	3130	972
763	3132	967
764	3134	963
765	3140	959
766	3143	954
767	3145	950
768	3147	945
769	3154	942
770	3158	938
771	3161	933
772	3169	930
773	3172	926
774	3175	921
775	3178	917
776	3182	913
777	3185	908
778	3187	904
779	3190	899
780	3193	895
781	3198	891
782	3201	887
783	3204	882
784	3206	878
785	3209	873
786	3214	869
787	3217	865
788	3219	861
789	3222	856
790	3228	853
791	3231	848
792	3234	844
793	3237	840
794	3243	836
795	3246	832
796	3249	827
797	3251	823
798	3258	819
799	3260	815
800	3263	810
801	3266	806
802	3269	802
803	3273	798
804	3277	793
805	3279	789
806	3282	785
807	3288	781
808	3291	777
809	3294	772
810	3297	768
811	3303	764
812	3306	760
813	3308	756
814	3311	751
815	3317	748
816	3320	743
817	3324	739
818	3327	735
819	3332	731
820	3335	727
821	3338	723
822	3341	718
823	3349	715
824	3353	711
825	3358	707
826	3364	703
827	3368	699
828	3375	696
829	3379	692
830	3383	688
831	3392	684
832	3396	680
833	3399	676
834	3405	672
835	3408	668
836	3411	664
837	3414	660
838	3420	656
839	3424	652
840	3427	647
841	3430	643
842	3436	639
843	3439	635
844	3443	631
845	3449	628
846	3452	623
847	3455	619
848	3458	615
849	3463	611
850	3465	606
851	3469	602
852	3471	598
853	3474	594
854	3479	590
855	3481	585
856	3485	581
857	3488	577
858	3493	573
859	3496	569
860	3500	565
861	3503	560
862	3506	556
863	3509	552
864	3512	548
865	3515	543
866	3519	539
867	3522	535
868	3525	531
869	3528	527
870	3533	523
871	3536	519
872	3539	514
873	3542	510
874	3548	506
875	3551	502
876	3554	498
877	3558	494
878	3562	490
879	3566	486
880	3575	482
881	3579	478
882	3583	474
883	3590	471
884	3593	466
885	3597	462
886	3604	459
887	3606	454
888	3609	450
889	3612	446
890	3617	442
891	3620	438
892	3623	434
893	3626	429
894	3629	425
895	3633	421
896	3636	417
897	3638	413
898	3642	409
899	3647	405
900	3650	401
901	3653	396
902	3656	392
903	3662	388
904	3664	384
905	3668	380
906	3670	376
907	3672	372
908	3677	368
909	3680	363
910	3683	359
911	3685	355
912	3687	351
913	3692	347
914	3695	343
915	3697	339
916	3699	334
917	3701	330
918	3706	326
919	3709	322
920	3711	318
921	3713	314
922	3715	309
923	3721	306
924	3723	301
925	3725	297
926	3728	293
927	3730	289
928	3732	285
929	3736	281
930	3738	277
931	3741	272
932	3743	268
933	3745	264
934	3748	260
935	3753	256
936	3757	252
937	3760	248
938	3765	244
939	3768	240
940	3770	236
941	3772	232
942	3774	228
943	3780	224
944	3782	220
945	3784	216
946	3786	211
947	3788	207
948	3791	203
949	3795	199
950	3797	195
951	3799	191
952	3802	187
953	3804	183
954	3810	179
955	3812	175
956	3814	171
957	3816	167
958	3818	163
959	3823	159
960	3825	155
961	3828	151
962	3830	147
963	3832	143
964	3834	139
965	3839	135
966	3841	131
967	3844	127
968	3846	123
969	3849	119
970	3854	115
971	3856	111
972	3858	107
973	3861	103
974	3863	99
975	3869	95
976	3871	91
977	3873	87
978	3876	83
979	3878	79
980	3883	75
981	3886	71
982	3888	67
983	3890	63
984	3892	59
985	3894	55
986	3900	51
987	3902	47
988	3904	43
989	3906	39
990	3908	35
991	3913	31
992	3916	27
993	3918	23
994	3920	19
995	3922	15
996	3927	11
997	3930	7
998	3932	3
999	3934	0
